instance,lb,ub,gap,status_ref,known_opt,found_obj,correct,time_sec,timed_out
N2C2W4_H.txt,61,61,0,Solved,61,61,True,0.243,False
N2C2W4_I.txt,58,58,0,Solved,58,58,True,0.6466,False
N2C2W4_J.txt,60,60,0,Solved,60,60,True,0.2456,False
N2C2W4_K.txt,59,59,0,Solved,59,59,True,24.6377,False
N2C2W4_L.txt,57,57,0,Solved,57,57,True,0.3016,False
N2C2W4_M.txt,60,60,0,Solved,60,60,True,0.2322,False
N2C2W4_N.txt,63,63,0,Solved,63,63,True,0.3205,False
N2C2W4_O.txt,62,62,0,Solved,62,62,True,0.2386,False
N2C2W4_P.txt,60,60,0,Solved,60,60,True,0.2406,False
N2C2W4_Q.txt,62,62,0,Solved,62,62,True,0.237,False
N2C2W4_R.txt,56,56,0,Solved,56,56,True,0.2411,False
N2C2W4_S.txt,55,55,0,Solved,55,55,True,0.2418,False
N2C2W4_T.txt,57,57,0,Solved,57,,,120.1421,True
N2C3W1_A.txt,35,35,0,Solved,35,35,True,0.3008,False
N2C3W1_B.txt,35,35,0,Solved,35,35,True,0.2471,False
N2C3W1_C.txt,35,35,0,Solved,35,35,True,0.2422,False
N2C3W1_D.txt,37,37,0,Solved,37,37,True,0.2391,False
N2C3W1_E.txt,34,34,0,Solved,34,34,True,0.2425,False
N2C3W1_F.txt,35,35,0,Solved,35,35,True,0.2516,False
N2C3W1_G.txt,33,33,0,Solved,33,33,True,0.2421,False
N2C3W1_H.txt,35,35,0,Solved,35,35,True,0.2442,False
N2C3W1_I.txt,34,34,0,Solved,34,34,True,0.243,False
N2C3W1_J.txt,33,33,0,Solved,33,33,True,0.241,False
N2C3W1_K.txt,36,36,0,Solved,36,36,True,0.2429,False
N2C3W1_L.txt,35,35,0,Solved,35,35,True,0.2403,False
N2C3W1_M.txt,31,31,0,Solved,31,31,True,0.2481,False
N2C3W1_N.txt,32,32,0,Solved,32,32,True,0.2407,False
N2C3W1_O.txt,35,35,0,Solved,35,35,True,0.2434,False
N2C3W1_P.txt,35,35,0,Solved,35,35,True,0.2398,False
N2C3W1_Q.txt,34,34,0,Solved,34,34,True,0.238,False
N2C3W1_R.txt,33,33,0,Solved,33,33,True,0.2432,False
N2C3W1_S.txt,36,36,0,Solved,36,36,True,0.2421,False
N2C3W1_T.txt,35,35,0,Solved,35,35,True,0.2411,False
N2C3W2_A.txt,41,41,0,Solved,41,41,True,0.2454,False
N2C3W2_B.txt,43,43,0,Solved,43,,,120.1492,True
N2C3W2_C.txt,41,41,0,Solved,41,41,True,0.2464,False
N2C3W2_D.txt,41,41,0,Solved,41,,,120.1456,True
N2C3W2_E.txt,39,39,0,Solved,39,39,True,29.2585,False
N2C3W2_F.txt,39,39,0,Solved,39,39,True,0.3013,False
N2C3W2_G.txt,41,41,0,Solved,41,41,True,0.2374,False
N2C3W2_H.txt,38,38,0,Solved,38,38,True,0.2417,False
N2C3W2_I.txt,44,44,0,Solved,44,44,True,0.2415,False
N2C3W2_J.txt,43,43,0,Solved,43,43,True,0.2432,False
N2C3W2_K.txt,42,42,0,Solved,42,42,True,0.2434,False
N2C3W2_L.txt,41,41,0,Solved,41,,,120.1335,True
N2C3W2_M.txt,43,43,0,Solved,43,43,True,0.2508,False
N2C3W2_N.txt,41,41,0,Solved,41,41,True,37.5274,False
N2C3W2_O.txt,45,45,0,Solved,45,,,120.1961,True
N2C3W2_P.txt,41,41,0,Solved,41,41,True,0.3008,False
N2C3W2_Q.txt,41,41,0,Solved,41,41,True,0.2382,False
N2C3W2_R.txt,40,40,0,Solved,40,40,True,0.2467,False
N2C3W2_S.txt,43,43,0,Solved,43,43,True,4.918,False
N2C3W2_T.txt,43,43,0,Solved,43,43,True,0.3037,False
N2C3W4_A.txt,43,43,0,Solved,43,,,120.1435,True
N2C3W4_B.txt,45,45,0,Solved,45,45,True,0.2961,False
N2C3W4_C.txt,42,42,0,Solved,42,42,True,0.2425,False
N2C3W4_D.txt,44,44,0,Solved,44,,,120.1391,True
N2C3W4_E.txt,47,47,0,Solved,47,47,True,0.2956,False
N2C3W4_F.txt,45,45,0,Solved,45,,,120.143,True
N2C3W4_G.txt,44,44,0,Solved,44,44,True,0.2689,False
N2C3W4_H.txt,44,44,0,Solved,44,,,120.1433,True
N2C3W4_I.txt,44,44,0,Solved,44,44,True,0.246,False
N2C3W4_J.txt,43,43,0,Solved,43,,,120.1359,True
N2C3W4_K.txt,47,47,0,Solved,47,,,120.1972,True
N2C3W4_L.txt,45,45,0,Solved,45,45,True,2.3785,False
N2C3W4_M.txt,44,44,0,Solved,44,,,120.1935,True
N2C3W4_N.txt,45,45,0,Solved,45,,,120.1489,True
N2C3W4_O.txt,45,45,0,Solved,45,,,120.1931,True
N2C3W4_P.txt,45,45,0,Solved,45,,,120.2269,True
N2C3W4_Q.txt,46,46,0,Solved,46,,,120.1407,True
