instance,lb,ub,gap,status_ref,known_opt,found_obj,correct,time_sec,timed_out
N1C1W1_A.txt,25,25,0,Solved,25,25,True,0.1756,False
N1C1W1_B.txt,31,31,0,Solved,31,31,True,0.1374,False
N1C1W1_C.txt,20,20,0,Solved,20,20,True,0.1415,False
N1C1W1_D.txt,28,28,0,Solved,28,28,True,0.1353,False
N1C1W1_E.txt,26,26,0,Solved,26,26,True,0.1364,False
N1C1W1_F.txt,27,27,0,Solved,27,27,True,0.1294,False
N1C1W1_G.txt,25,25,0,Solved,25,25,True,0.1368,False
N1C1W1_H.txt,31,31,0,Solved,31,31,True,0.1317,False
N1C1W1_I.txt,25,25,0,Solved,25,25,True,0.1893,False
N1C1W1_J.txt,26,26,0,Solved,26,26,True,0.1373,False
N1C1W1_K.txt,26,26,0,Solved,26,26,True,0.288,False
N1C1W1_L.txt,33,33,0,Solved,33,33,True,0.1322,False
N1C1W1_M.txt,30,30,0,Solved,30,30,True,0.1324,False
N1C1W1_N.txt,25,25,0,Solved,25,25,True,0.3771,False
N1C1W1_O.txt,32,32,0,Solved,32,32,True,0.1353,False
N1C1W1_P.txt,26,26,0,Solved,26,26,True,0.1413,False
N1C1W1_Q.txt,28,28,0,Solved,28,28,True,0.1269,False
N1C1W1_R.txt,25,25,0,Solved,25,25,True,0.1407,False
N1C1W1_S.txt,28,28,0,Solved,28,28,True,0.1321,False
N1C1W1_T.txt,28,28,0,Solved,28,28,True,0.1303,False
N1C1W2_A.txt,29,29,0,Solved,29,,,10.0841,True
N1C1W2_B.txt,30,30,0,Solved,30,30,True,0.1653,False
N1C1W2_C.txt,33,33,0,Solved,33,33,True,0.1335,False
N1C1W2_D.txt,31,31,0,Solved,31,31,True,0.1335,False
N1C1W2_E.txt,36,36,0,Solved,36,36,True,0.1333,False
N1C1W2_F.txt,30,30,0,Solved,30,30,True,0.1696,False
N1C1W2_G.txt,30,30,0,Solved,30,30,True,0.1309,False
N1C1W2_H.txt,33,33,0,Solved,33,33,True,0.1327,False
N1C1W2_I.txt,35,35,0,Solved,35,35,True,0.1357,False
N1C1W2_J.txt,34,34,0,Solved,34,34,True,0.1258,False
N1C1W2_K.txt,35,35,0,Solved,35,35,True,0.1369,False
N1C1W2_L.txt,31,31,0,Solved,31,31,True,0.1269,False
N1C1W2_M.txt,30,30,0,Solved,30,30,True,0.1279,False
N1C1W2_N.txt,33,33,0,Solved,33,33,True,0.1355,False
N1C1W2_O.txt,29,29,0,Solved,29,29,True,0.1339,False
N1C1W2_P.txt,33,33,0,Solved,33,33,True,0.1335,False
