instance,lb,ub,gap,status_ref,known_opt,found_obj,correct,time_sec,timed_out
N3C3W2_A.txt,84,84,0,Solved,84,84,True,2.3001,False
N3C3W2_B.txt,81,81,0,Solved,81,,,5.4455,True
N3C3W2_C.txt,82,82,0,Solved,82,82,True,1.3332,False
N3C3W2_D.txt,79,79,0,Solved,79,79,True,0.7737,False
N3C3W2_E.txt,79,79,0,Solved,79,79,True,0.818,False
N3C3W2_F.txt,81,81,0,Solved,81,,,5.4432,True
N3C3W2_G.txt,81,81,0,Solved,81,81,True,1.4766,False
N3C3W2_H.txt,82,82,0,Solved,82,,,5.449,True
N3C3W2_I.txt,79,79,0,Solved,79,,,5.4364,True
N3C3W2_J.txt,83,83,0,Solved,83,83,True,0.7257,False
N3C3W2_K.txt,83,83,0,Solved,83,83,True,0.893,False
N3C3W2_L.txt,82,82,0,Solved,82,82,True,0.7906,False
N3C3W2_M.txt,83,83,0,Solved,83,,,5.3927,True
N3C3W2_N.txt,77,77,0,Solved,77,,,5.4508,True
N3C3W2_O.txt,82,82,0,Solved,82,82,True,0.7057,False
N3C3W2_P.txt,80,80,0,Solved,80,,,5.4353,True
N3C3W2_Q.txt,76,76,0,Solved,76,76,True,0.9656,False
N3C3W2_R.txt,79,79,0,Solved,79,,,5.4815,True
N3C3W2_S.txt,80,80,0,Solved,80,80,True,0.7641,False
N3C3W2_T.txt,79,79,0,Solved,79,79,True,0.7582,False
N3C3W4_A.txt,89,89,0,Solved,89,,,5.4363,True
N3C3W4_B.txt,88,88,0,Solved,88,,,5.4535,True
N3C3W4_C.txt,88,88,0,Solved,88,,,5.4481,True
N3C3W4_D.txt,87,87,0,Solved,87,,,5.3944,True
N3C3W4_E.txt,85,85,0,Solved,85,,,5.45,True
N3C3W4_F.txt,84,84,0,Solved,84,,,5.435,True
N3C3W4_G.txt,94,94,0,Solved,94,,,5.4498,True
N3C3W4_H.txt,84,84,0,Solved,84,,,5.4389,True
N3C3W4_I.txt,92,92,0,Solved,92,,,5.4425,True
N3C3W4_J.txt,88,88,0,Solved,88,,,5.4412,True
N3C3W4_K.txt,89,89,0,Solved,89,,,5.4438,True
N3C3W4_L.txt,90,90,0,Solved,90,,,5.3789,True
N3C3W4_M.txt,88,88,0,Solved,88,,,5.4349,True
N3C3W4_N.txt,87,87,0,Solved,87,,,5.4424,True
N3C3W4_O.txt,87,87,0,Solved,87,,,5.4455,True
N3C3W4_P.txt,86,86,0,Solved,86,,,5.4385,True
N3C3W4_Q.txt,87,87,0,Solved,87,,,5.4428,True
N3C3W4_R.txt,87,87,0,Solved,87,,,5.4471,True
N3C3W4_S.txt,84,84,0,Solved,84,,,5.4423,True
N3C3W4_T.txt,85,85,0,Solved,85,,,5.4482,True
N4C1W1_A.txt,240,240,0,Solved,240,,,7.4295,True
N4C1W1_B.txt,262,262,0,Solved,262,262,True,4.8204,False
N4C1W1_C.txt,241,241,0,Solved,241,,,7.4281,True
N4C1W1_D.txt,246,246,0,Solved,246,,,7.4266,True
N4C1W1_E.txt,272,272,0,Solved,272,272,True,4.8257,False
N4C1W1_F.txt,265,265,0,Solved,265,,,7.4231,True
N4C1W1_G.txt,259,259,0,Solved,259,,,7.4324,True
N4C1W1_H.txt,251,251,0,Solved,251,251,True,4.7968,False
N4C1W1_I.txt,262,262,0,Solved,262,,,7.3847,True
N4C1W1_J.txt,288,288,0,Solved,288,288,True,4.8069,False
N4C1W1_K.txt,253,253,0,Solved,253,253,True,4.7817,False
N4C1W1_L.txt,258,258,0,Solved,258,258,True,4.8159,False
N4C1W1_M.txt,246,246,0,Solved,246,,,7.4863,True
N4C1W1_N.txt,256,256,0,Solved,256,256,True,4.7854,False
N4C1W1_O.txt,258,258,0,Solved,258,,,7.3957,True
N4C1W1_P.txt,271,271,0,Solved,271,271,True,4.8819,False
N4C1W1_Q.txt,277,277,0,Solved,277,277,True,4.8125,False
N4C1W1_R.txt,254,254,0,Solved,254,,,7.4221,True
N4C1W1_S.txt,261,261,0,Solved,261,,,7.4562,True
N4C1W1_T.txt,256,256,0,Solved,256,,,7.4453,True
N4C1W2_A.txt,317,317,0,Solved,317,,,7.4361,True
N4C1W2_B.txt,328,328,0,Solved,328,328,True,4.7405,False
N4C1W2_C.txt,319,319,0,Solved,319,,,7.4346,True
N4C1W2_D.txt,327,327,0,Solved,327,327,True,4.7994,False
N4C1W2_E.txt,310,310,0,Solved,310,,,7.462,True
N4C1W2_F.txt,321,321,0,Solved,321,321,True,4.7137,False
N4C1W2_G.txt,307,307,0,Solved,307,,,7.4431,True
N4C1W2_H.txt,315,315,0,Solved,315,315,True,4.7839,False
N4C1W2_I.txt,304,304,0,Solved,304,,,7.4405,True
N4C1W2_J.txt,311,311,0,Solved,311,,,7.4777,True
N4C1W2_K.txt,311,311,0,Solved,311,,,7.4543,True
N4C1W2_L.txt,316,316,0,Solved,316,316,True,4.8967,False
N4C1W2_M.txt,330,330,0,Solved,330,,,7.4871,True
N4C1W2_N.txt,311,311,0,Solved,311,,,7.4365,True
N4C1W2_O.txt,319,319,0,Solved,319,,,7.4641,True
N4C1W2_P.txt,317,317,0,Solved,317,,,7.4175,True
N4C1W2_Q.txt,319,319,0,Solved,319,,,7.4548,True
N4C1W2_R.txt,319,319,0,Solved,319,,,7.4504,True
N4C1W2_S.txt,312,312,0,Solved,312,,,7.439,True
N4C1W2_T.txt,323,323,0,Solved,323,,,7.4347,True
N4C1W4_A.txt,368,368,0,Solved,368,368,True,4.8881,False
N4C1W4_B.txt,349,349,0,Solved,349,349,True,4.8031,False
N4C1W4_C.txt,365,365,0,Solved,365,365,True,4.8669,False
N4C1W4_D.txt,359,359,0,Solved,359,359,True,4.793,False
N4C1W4_E.txt,373,373,0,Solved,373,373,True,4.8355,False
N4C1W4_F.txt,369,369,0,Solved,369,369,True,4.7842,False
N4C1W4_G.txt,362,362,0,Solved,362,362,True,4.7837,False
N4C1W4_H.txt,359,359,0,Solved,359,,,7.4414,True
N4C1W4_I.txt,359,359,0,Solved,359,,,7.4277,True
N4C1W4_J.txt,368,368,0,Solved,368,368,True,4.8327,False
N4C1W4_K.txt,371,371,0,Solved,371,371,True,4.7793,False
N4C1W4_L.txt,355,355,0,Solved,355,,,7.4827,True
N4C1W4_M.txt,360,360,0,Solved,360,360,True,4.781,False
